Timestamp,Informed Consent options,Have you fully understood the purpose of this survey and how your information will be handled?,What gender do you identify as?,What is your age?,What is the highest level of education you have completed?,What is your current work status?,How do you pay for the majority of your medical expenses?,What is your average monthly household income?,"The hospital should have modern, up-to-date equipment","The hospital's physical facilities should be clean and visually appealing (reception, waiting area, consultation rooms, toilets, wards)",The hospital's employees should be well-dressed and have a neat and professional appearance,Materials associated with the service should be visually appealing,"When a hospital employee promises to do something by a particular time, they should do it","When a patient has a problem, the hospital's employees should show a sincere interest in solving it",The hospital should provide its services at the time it promises to do,The hospital should always get things right the first time,The hospital should maintain accurate and error-free records,The hospital's employees should tell the patient exactly when services will be performed,The hospital's employees should provide prompt service to patients,The hospital's employees should always be willing to help patients,The hospital's employees should never be too busy to respond to patients' requests,The behaviour and attitudes of hospital employees should instill confidence in patients,Patients should feel safe in all their dealings with the hospital and its employees,Hospital employees should be consistently courteous to patients,Hospital employees should be knowledgeable and able to answer patients' questions,The hospital should give each patient individualised attention,The hospital's employees should express care in their interaction with patients,The hospital and its employees should have the patients' best interests at heart,The hospital's employees should understand the specific needs of each of their patients,The operating hours of the hospital should be convenient for all its patients,"The hospital has modern, up-to-date equipment","The hospital's physical facilities are clean and visually appealing (reception, waiting area, consultation rooms, toilets, wards)",The hospital's employees are well-dressed and have a neat and professional appearance,Materials associated with the service are visually appealing,"When a hospital employee promises to do something by a particular time, they do it","When a patient has a problem, the hospital's employees show a sincere interest in solving it",The hospital provides its services at the time it promises to do,The hospital always gets things right the first time,The hospital maintains accurate and error-free records,The hospital's employees tell the patients exactly when services will be performed,The hospital's employees provide prompt service to patients,The hospital's employees are always willing to help patients,The hospital's employees are never too busy to respond to patients' requests,The behaviour and attitudes of hospital employees instill confidence in patients,Patients feel safe in all their dealings with the hospital and its employees,The hospital's employees are consistently courteous to patients,The hospital's employees are knowledgeable and able to answer patients' questions,The hospital gives each patient individualised attention,The hospital's employees express care in their interaction with patients,The hospital and its employees have the patients' best interests at heart,The hospital's employees understand the specific needs of each of their patients,The operating hours of the hospital are convenient for all its patients,Which feature is the most important to you?,"Considering your overall experience at Halisi family Hospital, how likely are you to recommend Halisi Family Hospital to your family and friends?",What can we do to improve your experience?,
5/9/2024 11:11:26,I agree to participate in the survey,Yes,Female,18 - 44,Prefer not to say,Employed,"Out of Pocket - Cash,Mpesa,Credit or Debit Card, Private Health Insurance provided by my employer",Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,8,The token system needs to be coordinated to avoid patients jumping the line,
5/9/2024 11:22:03,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"50,000-99,999",Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,9,Check on the cost of medications ,
5/9/2024 11:22:37,I agree to participate in the survey,Yes,Female,18 - 44,Postgraduate Degree ( Master's Degree or Higher),Employed,"Out of Pocket - Cash,Mpesa,Credit or Debit Card, Private Health Insurance purchased by self",Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,1,"I was charged twice by the accountants. I waited a long time yet it was an emergency, so l would recommend Halisi to any one.",
5/9/2024 11:47:41,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,NHIF Only,"50,000-99,999",Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,.,
5/9/2024 13:03:16,I agree to participate in the survey,Yes,Male,18 - 44,Postgraduate Degree ( Master's Degree or Higher),Employed,Private Health Insurance provided by my employer,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,8,Have more consultants ,
5/9/2024 13:08:32,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Employed,Prefer not to say,Prefer not to say,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,8,Keep up the already good work,
5/9/2024 13:10:28,I agree to participate in the survey,Yes,Male,18 - 44,Secondary Education,Employed,Private Health Insurance provided by my employer,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,Time management when it comes to specialised bookings like gynecologist. They should not keep patients waiting for too long.,
5/9/2024 13:18:33,I agree to participate in the survey,Yes,Male,18 - 44,Secondary Education,Prefer not to say,"Out of Pocket - Cash,Mpesa,Credit or Debit Card","49,999 and below",Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,9,Not now,
5/9/2024 13:25:09,I agree to participate in the survey,Yes,Female,18 - 44,Prefer not to say,Employed,"NHIF Only, Private Health Insurance provided by my employer",Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,9," If only I could avoid standing in line for too long, this would be an excellent method. Either add more physicians or consultation rooms. Waiting for 2-3 hours to be served is completely unacceptable in a hospital. It may never be perfect, but I believe youu can improve.",
5/9/2024 13:47:31,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"50,000-99,999",Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,10,Excellent service keep it up ,
5/9/2024 14:23:52,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,Prefer not to say,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,8,Speediness in responding to patients especially when it is a busy season,
5/9/2024 14:55:47,I agree to participate in the survey,Yes,Female,18 - 44,Postgraduate Degree ( Master's Degree or Higher),Employed,"Out of Pocket - Cash,Mpesa,Credit or Debit Card, NHIF Only","100,000-149,999",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,10,Have more female doctors in outpatient and offer CCC services ,
5/9/2024 16:33:21,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,NHIF Only,"50,000-99,999",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,10,Reduce the waiting time.,
5/9/2024 17:02:58,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"150,000 and above",Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,7,Reduce the waiting time for patients especially for lab services and specialists,
5/9/2024 19:16:20,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"49,999 and below",Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,8,Dental services ought to be available and complete laboratory services for prompt service delivery. Taking samples to other facilities takes time.,
5/9/2024 20:03:08,I agree to participate in the survey,Yes,Female,45-59,Certificate or Diploma,Self-Employed,Private Health Insurance provided by my employer,Prefer not to say,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,10,I'm satisfied ,
5/10/2024 9:19:57,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Employed,"NHIF Only, Private Health Insurance provided by my employer","50,000-99,999",Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,9,The patient to hospital staff relationships should be strengthen to build more confidence .,
5/10/2024 9:48:43,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"50,000-99,999",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,"Have additional doctors on Saturday,it's always a busy day",
5/10/2024 11:19:33,I agree to participate in the survey,Yes,Female,45-59,Secondary Education,Retired,"Out of Pocket - Cash,Mpesa,Credit or Debit Card, Private Health Insurance provided by my employer",Prefer not to say,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,Faster service ,
5/10/2024 11:21:39,I agree to participate in the survey,Yes,Male,18 - 44,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,8,No comment,
5/10/2024 11:37:33,I agree to participate in the survey,Yes,Female,18 - 44,Postgraduate Degree ( Master's Degree or Higher),Employed,Private Health Insurance provided by my employer,"150,000 and above",Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,9,You are doing well,
5/10/2024 11:39:36,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,Have more doctors on duty to avoid keeping patients waiting for too long at the reception.,
5/10/2024 13:00:57,I agree to participate in the survey,Yes,Female,18 - 44,Prefer not to say,Employed,Private Health Insurance provided by my employer,"150,000 and above",Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,9,Shorten the time taken at the pharmacy ,
5/10/2024 13:47:00,I agree to participate in the survey,Yes,Female,45-59,Bachelor's Degree,Self-Employed,"Out of Pocket - Cash,Mpesa,Credit or Debit Card",Prefer not to say,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Empathy : The level of caring and individualised attention the hospital provides its patients.,7,"The reception, they are like the password guys in supermarkets, they take soo long to sort, a customer like me paying in cash have to go back to them  after every process, and there are other people waiting to be served, as a patient, i take sooo long to be served and finalized on, back and forths are soo many and not necessary, one can die waiting on the seats. The flow at the reveption as well, one doest know where or what next, wait blindly on the seat, that pisses me off alot. Keep them going to triage aside, them going to the dictor aside, them to pharmacy.... Even pharmacy, takes alot of time, wah, not necessary. The nurses who keep on opening the doors to the doctor when the patient is in, bad manners, interrupting what was going on, they can wait. ",
5/10/2024 15:14:56,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,Prefer not to say,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Reliability : The hospital's ability to perform the promised service dependably and accurately.,7,Just keep on doing what you are doing. Consistency is key.,
5/10/2024 16:10:28,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Self-Employed,"Out of Pocket - Cash,Mpesa,Credit or Debit Card","50,000-99,999",Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,6,services could be offered much quicker at times,
5/10/2024 16:23:48,I agree to participate in the survey,Yes,Female,18 - 44,Certificate or Diploma,Unemployed,Prefer not to say,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,1,Through improving health care services ,
5/10/2024 16:32:04,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Unemployed,"Out of Pocket - Cash,Mpesa,Credit or Debit Card","49,999 and below",Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,8,Faster response time ,
5/10/2024 16:33:23,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Self-Employed,"NHIF Only, Private Health Insurance provided by my employer","49,999 and below",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,8,"Extend maximum care to each patient to the best of your abilities 24/7, 365 days a year.",
5/10/2024 16:49:06,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Unemployed,NHIF Only,"49,999 and below",Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Reliability : The hospital's ability to perform the promised service dependably and accurately.,9,Improve on responsiveness ,
5/10/2024 17:08:37,I agree to participate in the survey,Yes,Female,18 - 44,Postgraduate Degree ( Master's Degree or Higher),Employed,NHIF Only,"100,000-149,999",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,8,Customer relations and timely service ,
